instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges,dsr,oos_holds,dsr_survives,ftmo_clears,SURVIVOR
XAUUSD,H4,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",168,PASS,1.2761686555999334,1.1978270016224348,0.2334059708293713,3.5840858351198808,20.91874879976663,0.1989482423377133,0.1713261260027066,0.0430583473333555,0.128267778669351,12.45586607142866,37,102,29,1579,130,38,1.073428907457891,1.7508621638717172,0.4907116645851797,3.679459104781552,0.0,95,0.0,True,False,False,False
XAUUSD,H4,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",228,PASS,1.148935602555183,1.07823028533906,0.0852201523272944,1.722352103945337,8.527186919915337,0.2350033732790673,0.0860492644966553,0.0390718116285485,0.0469774528681067,14.07819642857146,67,129,32,1590,161,67,1.1766872267126884,0.8600760128513526,1.2190270380466433,-1.1549136693891895,0.0105263157894736,95,0.0,False,False,False,False
XAUUSD,H4,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",95,PASS,1.064886365878564,1.011711381896078,0.0217926224204129,2.738813537241857,22.00019863146169,0.0912821551161953,0.0404423388838272,0.0328980791000504,0.0075442597837768,16.656857142857234,30,59,6,1525,74,21,0.9977717695942074,1.0618448562664893,-0.0165124311760605,0.4349810221974647,0.0,95,0.0,False,False,False,False
XAUUSD,H4,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",275,PASS,1.242266085868566,1.183484189883493,0.0159144091345923,3.0088948531786937,17.517829934587965,0.1577398116924075,0.1159842258536974,0.02540408368727,0.0905801421664274,21.44514285714331,26,120,129,1587,206,69,1.1889725945245182,1.1633828714482095,1.124169643836371,0.963343862053864,0.0,95,0.0,True,False,False,False
XAUUSD,H4,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",259,PASS,1.0854889095442102,1.0220276462832243,0.0040704788485067,0.991937712717334,6.773486138387455,0.1369903584301358,0.0387790213982358,0.0284305890016497,0.010348432396586,20.747321428571468,72,106,81,1589,197,62,1.0429297217264626,0.9521600889365316,0.3024409352451263,-0.3425790947653535,0.0,95,0.0,False,False,False,False
XAUUSD,H4,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",145,PASS,1.1080244241436568,1.048461129572998,-0.0143624798194142,2.423130492829077,16.961648427087415,0.1741653664293369,0.0605560893185056,0.0324317372273649,0.0281243520911406,16.2752857142857,38,77,30,1575,112,33,0.9590370356655148,1.4137623206066736,-0.3028857606206732,2.4682918120294093,0.0,95,0.0,False,False,False,False
XAUUSD,H1,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",659,PASS,1.1190145364247963,1.0067954851856282,-0.0572410726253342,0.2408755627143443,2.730746748074196,0.2569822492413892,0.06923409740286,0.0650070367526932,0.0042270606501668,8.314071428571424,194,374,91,1592,521,138,0.9888328642694276,1.0817990285028465,-0.0920691097835862,0.5553331666452948,0.0210526315789473,95,0.0,False,False,False,False
XAUUSD,H4,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",193,PASS,1.0422370539853318,0.9928875442983351,-0.1223381038071724,1.683846516129249,10.029359453251113,0.2151038270124453,0.0265688572389833,0.031188041984236,-0.0046191847452526,16.051500000000033,57,120,16,1556,141,52,0.8586353967707694,1.4450162436188527,-1.1353355797570266,2.73754216178459,0.0,95,0.0,False,False,False,False
XAUUSD,H4,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",307,PASS,1.015014075604904,0.9191233454937056,-0.2787287897721427,0.3617693641909975,5.367905307748647,0.2835878837115154,0.0078922146312526,0.0530181386905548,-0.0451259240593021,11.345892857142644,97,155,55,1590,197,110,0.8530971501823622,1.0656606405721696,-1.288670844843743,0.4672032479231571,0.0,95,0.0,False,False,False,False
XAUUSD,H4,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",170,PASS,0.9246033590072495,0.8169014965502173,-0.2937360674325642,-1.4668931596841586,16.97234570114227,0.1916984781129266,-0.0320090189391092,0.0510841147114426,-0.0830931336505518,11.94849107142852,64,65,41,1578,101,69,0.6264458506901155,1.23903624916838,-3.663435078932053,1.564654497107116,0.0,95,0.0,False,False,False,False
XAUUSD,H1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",325,PASS,1.0059639856271398,0.90436051394181,-0.363190959805878,0.7916570026531015,5.654299279726529,0.25566057428956,0.0035758068378482,0.0648450497178329,-0.0612692428799847,8.092571428571546,87,189,49,1590,264,61,0.9294402566535832,0.7930971050483558,-0.5532195193602442,-1.6763893917628043,0.0,95,0.0,False,False,False,False
XAUUSD,H4,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",511,PASS,1.0352216436779391,0.954257438880726,-0.4053038791636069,0.2776923207843831,2.803140797401052,0.353049717405451,0.0175985822067498,0.0415350785074614,-0.0239364963007116,13.010196428571362,150,241,120,1594,395,116,0.9165567415539404,1.107039197197393,-0.6538396993025203,0.73617931551272,0.0,95,0.0,False,False,False,False
XAUUSD,H4,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",396,PASS,1.0047847460908843,0.9378776472993536,-0.4515553542456056,0.7432860919594464,4.970849763142068,0.2948858145458063,0.0021497296715361,0.0311849539315789,-0.0290352242600428,17.274785714285713,91,153,152,1592,289,107,0.8986515417592261,1.069075748760863,-0.7902814279585225,0.457807067384514,0.0,95,0.0,False,False,False,False
XAUUSD,H4,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",339,PASS,1.0926998718206344,1.0146325597655026,-0.4542624652565297,1.529610653797676,8.528129037455681,0.2558977574240106,0.0401541651409796,0.0335289261047159,0.0066252390362637,16.452375000000075,49,132,158,1590,264,75,1.0058730961744338,1.0464520931721144,0.0390402158566617,0.3040637320997606,0.0,95,0.0,True,False,False,False
XAUUSD,H1,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",497,PASS,1.010197453245372,0.8903464272182332,-0.5102241703266595,0.6540105729397063,3.5960214848406635,0.3711235380421164,0.005476324734535,0.0691811237187995,-0.0637047989842645,7.809500000000071,114,250,133,1592,387,110,0.8821915168877922,0.9226313649118608,-0.9187622968870292,-0.5654718576412155,0.0105263157894736,95,0.0,False,False,False,False
