instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges,dsr,oos_holds,dsr_survives,ftmo_clears,SURVIVOR
NAS100,H4,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",177,PASS,1.5153670343596095,1.4690292721137477,0.6685644328947276,2.394025838463048,14.687374796566573,0.1370800864990763,0.2671474612039427,0.0193180908429375,0.2478293703610052,208.6639285714282,0.4745762711864407,55,91,31,2004,104,73,1.367015488369421,1.6275619624749351,2.351559847500261,3.599689624343734,0.0,94,0.0,True,False,False,False
US30,H4,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",190,PASS,1.5146209862653552,1.4609888066803185,0.5591463865075629,3.4015821067509595,20.191883209857117,0.1247456118467946,0.3054832081817378,0.0249290117205219,0.2805541964612158,243.05724107143035,0.3842105263157894,45,110,35,1884,113,77,1.4029402843813743,1.5391139125607207,2.301221561810492,2.9963734487092823,0.0,94,0.0,True,False,False,False
US30,H1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",373,PASS,1.2731196315374769,1.1973979123852807,0.5096141768386798,1.1274383931348222,5.307162641426356,0.1844550699840093,0.1537100488339925,0.038105882019709,0.1156041668142835,166.000214285712,0.4101876675603217,120,206,47,1913,210,163,1.1574025669280226,1.2482596941840685,1.0827816742315544,1.6748737794574715,0.0,94,0.0,True,False,False,False
NAS100,H4,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",209,PASS,1.4196571720234163,1.368519209415214,0.4750501079171481,3.2974257198385613,18.89320331861984,0.1076334501267004,0.2590237580952897,0.0256201387353566,0.2334036193599331,156.4979464285716,0.3779904306220095,45,128,36,2004,119,90,1.3815067297166652,1.351496401292568,2.258738277774706,2.0846088189694942,0.0,94,0.0,True,False,False,False
NAS100,H1,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",702,PASS,1.2271685664230036,1.1315382288670293,0.4498692493209309,1.2671995958280828,3.650548079296366,0.2063018646502069,0.1403044962216489,0.0542551776039166,0.0860493186177323,68.24311607142863,0.3518518518518518,141,425,136,1994,399,303,1.1581445144626712,1.098475170943932,1.083129318933825,0.7002120745716166,0.0744680851063829,94,0.0,True,False,False,False
NAS100,H4,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",106,PASS,1.4034874295221396,1.361874532314557,0.4424658625617274,3.281884187464604,26.921532239116075,0.064086682965622,0.2188342323845544,0.0187245376997857,0.2001096946847687,220.44221428571385,0.4528301886792453,37,57,12,1997,61,45,1.1204845538082049,1.7534809273573864,0.8314747309549804,4.108010982019444,0.0,94,0.0,True,False,False,False
NAS100,H1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",406,PASS,1.2390918168335732,1.1652094606414154,0.4417026076158308,0.9650406830941638,4.684418473167076,0.1454444912996316,0.1403915938804867,0.0393462776826237,0.1010453161978629,100.91257142857104,0.3990147783251231,139,236,31,1996,232,174,1.256156958291055,1.0564115046057605,1.713900932883483,0.4245453352037997,0.0,94,0.0,True,False,False,False
US30,H4,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",484,PASS,1.231666063536375,1.182868536522817,0.3998473243178564,0.9342455275294684,3.821709179797905,0.2413958803942789,0.1005158185410296,0.0192977014434665,0.0812181170975631,313.3346428571458,0.4793388429752066,133,184,167,1916,278,206,1.1565259243393635,1.2194863950271138,1.083963618791841,1.428612160059955,0.0,94,0.0,True,False,False,False
US30,H4,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",112,PASS,1.3456281199056743,1.3068168009216787,0.3910383539810704,3.1214846893941823,22.728679367990047,0.1114253600083092,0.1957884558168639,0.0186294075219202,0.1771590482949437,357.00885714285687,0.4196428571428571,40,63,9,1885,58,54,1.4649751542858611,1.1641855765968194,2.7840007112883245,1.1272511662853504,0.0,94,0.0,True,False,False,False
NAS100,H1,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",582,PASS,1.1924159706448685,1.1100332431284443,0.3433422949537575,0.870160168705257,3.254194236789701,0.1962361677701696,0.1020083582258812,0.0410133084405334,0.0609950497853478,93.21403571428527,0.4261168384879725,153,299,130,1994,332,250,1.2078587577050652,0.995868934859678,1.4142145624328,-0.0315170525737529,0.0212765957446808,94,0.0,False,False,False,False
US30,H4,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",151,PASS,1.325459318573827,1.284888397984051,0.3264677412176411,2.4654514325081327,17.6036527147055,0.1389395344867005,0.1756345009509082,0.0189383870438737,0.1566961139070345,322.7860714285707,0.4370860927152318,44,79,28,1884,86,65,1.2113722369570823,1.3730826263228877,1.376273911349729,2.3726408584272303,0.0,94,0.0,True,False,False,False
US30,H4,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",298,PASS,1.2016525295135636,1.1605360726253475,0.2907300219495994,1.0157462672433728,6.195968746023864,0.1603860584107954,0.094663125123168,0.0177254397788119,0.076937685344356,387.3457678571394,0.4697986577181208,91,129,78,1907,164,134,1.0130801437884334,1.3629785570059412,0.0957175167414553,2.297427403444986,0.0,94,0.0,True,False,False,False
NAS100,H4,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",311,PASS,1.1672143045321757,1.13018658609764,0.2635670201661848,1.0291367495161416,6.121965238584306,0.0971935486884328,0.0811685128232684,0.0168150172434708,0.0643534955797976,243.3127500000028,0.4823151125401929,89,144,78,1998,183,128,1.162981890707104,1.0859070925008096,1.1293707949968692,0.6330758003784395,0.0,94,0.0,True,False,False,False
US30,H4,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",220,PASS,1.1504060560426368,1.1200372477902745,0.2214763252925513,1.8382649181381967,10.599646583986097,0.1956167533065764,0.0924681121093898,0.0173901561180317,0.0750779559913581,332.6092499999995,0.3772727272727272,74,135,11,1897,112,108,1.374332963016191,0.9045119037678512,2.391005163598698,-0.7444139528780059,0.0,94,0.0,False,False,False,False
NAS100,H1,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",782,PASS,1.1307340649044169,1.0634266451810672,0.2115495136857167,0.4687856864087821,1.8281055577170189,0.2366191627182016,0.0798920003172923,0.0395520809006031,0.0403399194166892,92.48107142857134,0.3810741687979539,253,473,56,2007,449,333,1.0907493596037536,1.0273789182943445,0.6879336546872454,0.2127914379478438,0.0319148936170212,94,0.0,True,False,False,False
